County_ID,County_Name,Dist_ID,District_Name,School_ID,School_Name,PRGCODE,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,Row_Total,Free_Lunch,Reduced_Price_Lunch,English_Learners,Migrant
01,ATLANTIC,1410,ESTELL MANOR CITY,999,Total,03,8,8,0,0,0,1,0,1,0,0,0,0,1,0,19,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,999,Total,04,9,11,0,0,0,0,1,0,0,0,0,0,0,0,21,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,999,Total,05,12,9,0,0,1,0,0,0,0,0,0,0,0,0,22,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,999,Total,06,11,15,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,999,Total,07,11,14,0,0,0,0,0,0,0,0,0,0,0,0,25,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,999,Total,08,9,15,0,0,0,0,1,0,0,0,0,0,0,0,25,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,999,Total,UG,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,999,Total,55,87,95,2,0,1,3,2,2,0,0,0,0,1,1,194,22,17,0,0
01,ATLANTIC,1540,FOLSOM,050,Folsom E.S.,PF,4,3,0,0,1,1,0,0,0,0,0,0,1,0,10,,,,
01,ATLANTIC,1540,FOLSOM,050,Folsom E.S.,KF,14,17,0,0,1,2,0,0,0,0,0,0,0,0,34,,,,
01,ATLANTIC,1540,FOLSOM,050,Folsom E.S.,01,15,24,0,2,0,1,0,0,0,0,0,0,0,0,42,,,,
