"County Code","County Name","District Code","District Name","Total Enrollment","White","Black","Hispanic","Asian","Native American","Hawaiian Native","Two Or More Races","%Free Lunch","%Reduced Lunch","Pre-K","Kindergarten","First Grade","Second Grade","Third Grade","Fourth Grade","Fifth Grade","Sixth Grade","Seventh Grade","Eighth Grade","Ninth Grade","Tenth Grade","Eleventh Grade","Twelfth Grade"
"03","Bergen","3960","Pascack Valley Regional",-2.1,-4.3,8,10.4,-0.5,50,50,19,-0.5,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.5,-10.2,0.8,5.1
"03","Bergen","4300","Ramapo-Indian Hill Reg",-1.2,-1.7,-8,1.5,1.8,0,-25,7.3,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.8,-6.1,-3,10.1
"03","Bergen","4310","Ramsey Boro",-3.4,-2.2,17.2,-13.1,-5.2,0,0,0,-0.3,-0.4,-17.4,12.6,-16.2,-17.6,0,8.2,-17.3,6.3,-12.8,5.1,-8.2,-12.4,10.5,6
"03","Bergen","4370","Ridgefield Boro",-3.4,-7.2,13,-1,-4.9,-66.7,0,0,-6.3,-1.7,-59.3,3.1,-20.2,-5.7,20.9,-15.5,7.2,-26.2,8.7,-1.5,50.6,-9.6,-9.7,19.2
"03","Bergen","4380","Ridgefield Park Twp",-2.7,-9.2,-13,1.2,-8.3,50,-6.2,62.5,-0.899999999999999,-0.799999999999999,-14.3,-28.8,15,-17.4,6.3,-4.5,-11.9,4.9,-7.6,0,-1.4,4.7,15.5,-18.4
"03","Bergen","4390","Ridgewood Village",-2.7,-4.2,1.7,0,-1.2,-100,0,1.9,0.2,-0.3,-20.8,-15.5,-1,-3.5,-0.2,-5,-5,5.2,-8.6,1.8,-4.6,-7.4,9.2,-1.6
"03","Bergen","4405","River Dell Regional",-1,-3.7,-25,-2.5,6.7,NA,NA,14,-0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,-5.5,12.1,-17.8,4.7,-4.3,5.4
"03","Bergen","4410","River Edge Boro",-0.2,-3.9,37.5,10.4,-1.5,-100,NA,13,0.5,-0.3,-4,-11.2,0.6,3,-3.5,1.8,-18.3,29.4,NA,NA,NA,NA,NA,NA
"03","Bergen","4430","River Vale Twp",-3.1,-3.3,-8.3,4.7,-6,0,0,20,0,0,38.5,-21.1,14.4,-17.7,-13.7,24,-12,-12.4,-5.4,22.1,NA,NA,NA,NA
"03","Bergen","4470","Rochelle Park Twp",-4.7,-9.3,7.7,0,-11.1,NA,NA,50,-4.9,0.4,-45,-7.7,-32.7,14.9,-18.5,3.6,-1.8,1.6,11.3,-13.8,NA,NA,NA,NA
